Term,Class 1 Frequency,Class -1 Frequency
fluoride,2,12
gadolinium,1,1
gallium,1,0
germanium,1,0
hafnium,1,0
holmium,1,0
hydrogen,2,6
indium,1,0
iodine,3,9
lanthanum,1,0
lithium,3,1
lutetium,1,0
neodymium,2,0
nickel,2,1
niobium,1,0
nitrogen,4,12
osmium,1,0
palladium,2,0
platinium,1,0
prascodymium,1,0
rhenium,1,0
rhodium,1,0
rubidium,1,0
rithenium,1,0
samarium,1,0
sacandium,1,0
silicon,2,4
silver,27,112
strontium,1,0
sulfur,3,3
tantalum,1,0
tellurium,1,0
terbium,1,0
thallium,1,0
thorium,1,0
thulium,1,0
titanium,2,6
tungsten,1,1
vanadium,1,0
ytterbium,1,0
yttrium,1,0
zinc,13,8
zirconium,1,0
multivitamin,5,2
vaxa,1,1
adaptogen,2,0
intrakid,1,0
intramax,1,0
anemia,11,26
earthturn,1,0
ad-access,2,1
ad-million,5,1
ad-bing,5,9
title-clip,5,0
title-bing,9,11
title-video,9,5
msn,15,13
widescreen,1,0
resolution,11,13
mtv,3,1
hulu,1,0
espn,1,0
dailymotion,1,0
metacafe,1,0
safesearch,6,3
sexually,7,15
explicit,7,3
mature,16,11
unsuitable,6,3
acknowledge,10,13
panda,3,1
sneeze,8,4
dolittle,1,0
cutest,3,2
goodtolove,1,0
musial,1,0
sep,21,8
rhino,2,3
calf,23,12
eleven,10,2
blair,1,1
drummond,1,0
dilhan,1,0
nicola,3,0
madness,2,0
penguin,1,2
clipsyndicate,1,0
elephant,9,5
rediff,1,0
pagination,3,7
microsoft,13,19
ad-kraft,6,0
ad-huddle,2,0
ad-hunger,3,0
ad-fight,3,2
ad-explore,4,0
title-join,6,0
title-huddle,5,0
title-fight,5,1
title-hunger,5,1
title-donate,7,0
title-donation,5,3
huddle,5,0
configuration,8,15
kraft,12,2
tailgate,6,1
neely,5,2
cheesy,9,1
oreo,6,2
stallion,7,0
playbook,5,0
zone,14,8
pennant,5,0
cori,3,0
megan,5,1
robert,17,13
acquaint,9,0
monetary,6,2
ad-nj,14,11
ad-rate,17,43
ad-st,8,1
title-petplan,15,0
header-petplan,15,0
header-largest,15,1
header-provider,20,0
header-coverage,15,0
header-cat,21,2
petplan,15,0
customizable,18,3
congenital,16,13
hereditary,15,13
rehabilitation,16,19
petinsurancereview,15,0
rank,24,6
snyder,24,1
vp,17,1
policyholder,15,0
foolish,15,0
heide,15,0
unquestionably,15,0
phyphe,15,0
yagi,15,0
prefill,15,1
retrieve,20,13
diva,17,0
fetch,22,0
netherland,31,3
nl,16,1
au,23,8
exclusion,16,1
administer,33,19
michigan,26,38
underwritten,16,0
agcs,15,0
allianz,15,0
casualty,15,1
wholly,17,0
subsidiary,21,0
plc,15,4
contingent,16,0
ad-amino,1,0
ad-stack,2,0
ad-reduce,5,14
ad-flavor,7,0
title-reduce,2,1
title-fat,4,0
title-range,3,0
cholestrol,2,1
cottonseed,1,0
maltodextrin,3,0
flour,12,9
dextrose,1,0
database,13,14
preservative,27,11
ad-culture,2,1
title-retailer,1,0
title-culture,2,0
title-word,2,1
header-retailer,1,0
header-near,2,0
mooseum,1,0
le,15,26
humanity,2,0
documentary,4,0
camel,6,0
interview,22,23
cypress,2,1
grove,7,8
emmi,2,0
festival,9,1
gusto,2,0
turin,2,0
cheesefest,2,0
adeliaide,2,0
creamery,4,1
fever,13,131
angela,5,3
cheesemonger,2,0
iq,6,2
rumination,2,0
ut,5,4
libertyheightsfresh,1,0
emiliano,2,0
lee,26,16
judge,5,5
charcuterie,5,0
emi,1,0
flavore,13,0
flew,1,1
owe,8,0
foodtopia,1,0
steven,5,7
rosenberg,1,1
chock,2,1
shelve,3,2
passionate,5,2
aj,1,1
ajsfinefood,1,0
ceriello,1,0
ceriellofinefood,1,0
clark,7,5
clarksmarket,1,0
dillon,2,0
caf,2,1
earthfare,1,0
fre,4,18
meyer,4,3
fredmeyer,1,0
frysfood,1,0
hiller,1,0
kowalski,1,1
kowalske,1,0
kroger,1,0
lunardi,1,0
lunarde,1,0
lund,1,0
byerly,1,0
lundsandbyerly,1,0
metropolitan,1,3
mollie,1,1
molliestone,1,0
nob,2,0
nobhill,1,0
raley,2,0
ralph,4,4
roche,2,2
bro,6,1
rochebro,1,0
sfmarket,1,0
thrifty,2,0
thriftyfood,1,0
tifood,1,0
wegman,2,0
wholefoodsmarket,1,0
culturecheesemag,2,0
cheesetoast,2,0
ad-sh,11,2
chilean,7,2
ctv,1,1
rescuer,3,0
painstak,2,0
kilometre,1,0
saga,2,0
kin,2,0
jealousy,1,1
rivalry,2,0
telegraph,3,1
guardian,12,2
ad-trick,6,5
ad-pro,2,2
ad-issue,2,4
ad-hunter,3,0
title-club,2,0
title-magazine,2,0
trophy,13,11
buck,34,5
monster,12,0
waterfowl,5,0
insightful,5,0
enjoyment,8,4
gun,13,10
ammo,4,0
optics,3,2
shot,22,39
giveaway,9,2
rush,18,8
privilege,4,4
cancell,1,0
enewsletter,5,4
consideration,11,13
postage,7,6
retreiver,5,0
cushion,6,12
ad-aquariums,1,0
ad-installation,2,0
ad-maintenance,1,0
ad-emergency,1,1
title-aquatic,1,0
title-fantasy,1,0
title-chinchilla,11,0
liven,11,0
prevue,16,0
playpen,18,0
tubby,16,0
penthouse,13,0
define,36,21
ferrretrail,11,0
nel,12,0
universe,11,1
crittercare,11,0
ad-purina,1,0
ad-ice,10,4
ad-cream,11,4
ad-kit,11,9
ad-enjoy,19,5
karla,1,0
kiser,1,0
barbara,4,6
cush,2,2
folsom,1,1
cinda,1,0
donell,1,0
jamie,2,5
molash,1,0
perez,3,2
angi,1,0
robertso,1,0
ad-humane,1,0
ad-prairie,1,0
persistant,1,0
heirloom,5,0
brat,1,1
tenderloin,4,0
patty,10,2
pkg,4,1
opstore,1,0
organicprairie,1,0
reorder,9,4
redeem,2,0
nexternal,1,0
notify,10,8
deadline,8,3
newsroom,10,2
ad-tast,5,1
phenylketonuria,1,0
pku,1,0
glutaric,1,0
acidemia,1,0
homocystinuria,1,0
isovaleric,1,0
msud,1,0
propionic,1,0
methylmalonic,1,0
tyrosinemia,1,0
dessert,36,9
nutricia,1,0
raspberry,16,1
gingerberry,1,0
fizz,2,0
lophlex,1,0
lq,2,0
apricot,12,1
caribbean,7,0
bliss,1,0
spritzer,4,0
pina,2,0
colada,2,0
palmer,2,2
crostini,5,0
bruschetta,1,0
loprofin,1,0
bagel,7,3
butternut,2,1
squash,12,5
primavera,2,0
whirl,1,1
cranberry,9,3
cake,24,9
lantern,9,1
scrumptious,2,0
boyfriend,10,3
loose,18,25
ad-reflux,1,2
ad-prilosec,2,0
ad-otc,2,0
ad-relieve,1,10
ad-frequent,1,0
ad-heartburn,4,3
title-cause,1,33
title-heartburn,5,1
title-prilosec,3,0
title-otc,3,0
title-register,5,0
title-css,3,1
header-cause,1,22
header-heartburn,2,1
header-highlight,2,0
prilosec,4,0
freetrialimage,3,0
comparison,25,38
snowflake,4,1
fuss,2,2
shortcak,2,0
loin,7,0
shallot,7,0
gravy,5,0
orzo,3,0
trigger,7,87
weak,4,9
esophageal,2,9
sphincter,2,1
withstand,8,7
acidic,5,3
cigarette,3,21
abdomen,6,31
esophagus,2,17
prone,8,16
lie,6,11
breastbone,2,0
sensation,10,10
harsh,9,4
irritate,10,12
pyrosis,1,0
abnormal,6,16
motility,1,2
seep,1,0
underly,8,30
worsen,2,24
hinder,1,3
nascar,5,1
prilosecotc,3,0
accordance,6,10
header-hit,1,0
header-miss,3,2
header-engine,1,0
header-klue,3,0
davidsurdi,1,0
klue,3,0
fingertip,4,2
ad-tell,3,7
title-platinum,3,0
title-performance,4,1
ad-pygmy,9,8
title-pygmy,6,7
title-found,12,13
header-pygmy,6,7
enfamil,5,1
brandsonsale,3,1
babygoat,3,0
aqua,7,2
stearic,5,0
glycerin,9,3
glycine,2,0
soja,2,0
glycerol,2,0
monostearate,2,0
cetyl,2,0
isopropyl,2,0
palmitate,3,1
dimethico,2,0
canus,6,0
li,12,2
allantoin,2,1
effe,2,0
nat,4,4
evaporation,2,1
irritant,7,2
vermont,7,30
lil,4,6
naturalmarket,1,0
petite,10,4
chevre,6,0
supplementwarehouse,2,0
jr,16,10
sweatshirt,19,3
polyeste,2,0
fleece,20,3
seam,8,3
armhole,3,0
waistban,2,0
coverseam,3,0
slee,2,0
marigold,3,1
drugstore,8,0
suede,3,0
pant,15,6
caramel,12,0
straigh,2,0
nine,9,7
emily,5,8
crossbody,1,0
manmade,1,0
advert,2,0
torch,1,1
launch,14,18
informatica,1,0
etl,1,0
req,2,0
novo,1,0
nordisk,1,0
officer,5,3
surveillance,3,1
citi,1,0
ser,6,0
purposef,1,0
prudential,1,6
infinova,1,0
fa,5,1
blogline,4,0
ticketweb,4,0
ad-aol,6,1
ad-travel,3,2
ad-flight,1,0
ad-hotel,1,6
title-travel,2,7
title-aol,3,0
header-trust,1,1
header-ve,3,1
header-aol,4,0
header-travel,2,2
gadle,1,0
mapquest,2,0
disney,7,20
romance,3,5
romantic,6,8
weird,6,4
asia,6,4
pacific,21,20
lifestream,4,1
seattle,8,11
emerald,4,0
toronto,3,10
backpacker,3,0
pho,2,0
hung,3,0
vietnamese,3,2
congressman,1,0
ditch,3,0
tsa,1,0
scanner,2,1
terrorist,1,0
qanta,1,0
blew,1,0
organizer,7,0
alarm,6,11
spare,6,4
atm,1,0
spil,1,0
coastal,4,1
traveler,6,7
surf,5,1
tourist,2,1
fishermen,2,0
array,16,8
amber,13,5
degrace,1,0
heape,1,0
sacrifice,3,1
wilderness,5,0
dell,5,9
territory,4,1
encompass,9,2
resort,12,84
condo,10,2
feet,32,62
golfer,1,0
championship,8,1
caliber,1,0
thailand,5,0
vastly,1,2
diverse,7,19
glitzy,1,0
nightlife,1,0
rural,16,12
elaborate,2,3
palace,1,1
itinerary,3,2
alamy,2,0
midwest,16,6
gem,5,8
architectural,2,0
splendor,3,0
riverboat,1,0
abolitionist,1,0
maui,3,0
honolulu,2,3
diego,6,27
atlantic,1,15
madrid,2,1
spaniard,1,0
rome,4,2
juan,1,3
cancun,1,0
punta,1,0
cana,2,1
amsterdam,2,0
berlin,3,2
acapulco,1,0
vienna,1,1
dublin,3,0
manchester,4,1
bahama,1,0
freeport,1,1
tokyo,1,0
cabo,1,0
luca,3,1
dubai,3,1
cayman,1,0
departe,1,0
airport,21,8
digit,2,8
reservation,11,16
hyatt,1,14
morocco,5,0
isle,1,1
travelzoo,1,0
niagara,1,7
bueno,1,1
honeymoon,2,0
getaway,4,6
toolbar,11,13
tpp,13,27
anatp,13,27
eaten,19,2
extension,11,6
ad-elk,6,0
ad-outfitter,4,1
title-sporte,1,0
header-sporte,1,0
archery,5,1
boate,6,10
primo,3,1
carlton,3,0
danner,1,0
angelo,2,0
sportsman,3,2
gander,2,0
wildbillwholesale,1,0
cabela,2,6
nativeoutdoor,1,0
spytown,1,0
bra,8,2
runner,11,10
stair,8,22
howstuffwork,1,0
missouri,18,30
rockymountainelkhunt,1,0
guid,14,4
luxurious,14,1
lodge,19,6
longfellowranch,1,0
allpredatorcall,1,0
superstore,1,1
boone,3,2
crockett,2,0
trophyhuntsunlimit,1,0
grid,13,20
bugle,2,0
variable,6,11
lt,5,2
gt,1,1
woodsman,1,0
decoy,3,0
shy,5,2
lightweight,10,1
secretion,4,6
skull,5,6
antler,4,0
sticker,6,6
decal,2,1
manufactuer,1,0
lastest,3,0
gtx,1,0
boot,35,8
thinsulate,1,0
insulation,5,4
wildbillwhole,1,0
caribou,1,0
burl,1,0
cutout,4,0
teame,2,0
hotmoviesale,2,0
tent,9,3
accommodate,8,16
askmen,1,2
drawback,1,1
elliptical,2,9
geartrend,1,0
covet,2,0
fluidly,1,0
tracker,4,51
yonex,1,0
badminton,1,0
racquet,1,0
visor,2,0
helmet,9,2
hurley,1,0
footjoy,1,0
nike,3,1
bayou,1,0
weathertech,1,0
nuvo,1,0
winn,2,2
seca,2,1
brien,3,2
lunker,1,0
zippo,1,1
mack,1,0
vacuum,6,17
makeup,6,8
ad-grinder,1,0
ad-agricultural,5,2
title-grinder,1,0
header-grinder,1,0
grinder,11,1
phg,1,0
pleasanthillgrain,4,1
loomix,4,0
northerntool,6,2
foodprocess,1,0
bcggge,1,0
mbyv,1,0
zx,1,0
ddq,1,0
utilization,5,3
feedstuff,3,0
usage,5,7
richard,10,3
kellem,2,0
mjkysrg,1,0
zkscy,1,0
zuw,1,0
isbn,5,1
pearson,1,0
textbook,17,3
huizhou,1,0
zgkljx,1,0
chaar,4,0
buckeye,4,1
crown,10,28
pennfield,4,0
goldengraingrinder,1,0
neville,2,0
suttle,1,0
vgdnvvyl,2,0
lspro,2,0
upiyia,2,0
awareness,14,32
chemically,2,1
alter,8,38
poorly,5,7
fervently,2,0
husbandry,31,1
niche,9,0
legality,2,0
butcher,18,2
appendix,5,11
plethora,2,1
vtyn,1,0
nmji,1,0
zd,1,0
zck,1,0
xq,4,0
appendice,4,0
manure,7,3
tan,16,6
supplemental,7,5
carol,13,3
ekarius,2,0
shadow,12,1
omomfmpmubzlcfn,1,0
qydjaw,1,0
assess,11,27
kuccc,2,0
hclpu,2,0
eb,3,1
sjbj,2,0
fifth,3,6
welfare,13,3
competency,2,2
thorough,9,54
computerize,2,2
sgj,1,0
paqsuz,1,0
qzbwo,1,0
jqcg,1,0
explain,25,28
guidance,19,8
halftone,1,0
wmn,1,0
wlzwvrmnpkk,1,0
specifics,3,1
explor,8,6
mknqd,1,0
hpc,1,0
mwyg,1,0
bucket,24,5
quart,5,2
lhr,1,0
ptdtsskf,1,0
nitty,1,0
gritty,2,0
facet,4,40
fascinate,16,2
rebuilt,2,3
hammermill,1,1
grind,5,28
biomass,1,0
freedomequipment,1,0
crank,4,2
wheatgrasskit,1,0
immunoaffinity,1,0
aflatoxin,1,0
ochratoxin,1,0
recovery,21,78
pickeringlab,1,0
shopaholic,3,1
keepingchickensnewsletter,12,0
verdict,7,1
jury,5,0
nuisance,8,2
seegerweiss,5,0
title-hog,13,2
header-hog,12,1
ad-ra,3,26
ad-pain,3,65
title-arthritis,3,92
title-pain,3,40
title-relief,8,25
title-treatment,5,221
title-medication,7,3
jointrenew,3,2
collagen,4,7
nourish,19,13
cartilage,7,51
inflammation,18,150
suppy,3,2
decrease,26,97
participate,31,64
pace,7,13
reclaim,5,5
youthful,3,2
crystalline,3,2
arthritispainrelief,3,2
synergy,4,4
ad-morrie,1,0
ad-waud,1,0
ad-center,4,16
ad-specialty,3,1
ad-referral,1,0
ad-practice,2,1
ad-affiliate,1,0
ad-uw,1,0
ad-madison,1,0
ad-svm,1,0
title-morrie,1,0
title-waud,1,0
title-excellent,2,0
title-close,2,0
title-clinic,2,5
title-serve,2,2
title-southern,4,1
title-wisconsin,4,0
title-northern,1,0
title-illinoe,2,1
header-advance,14,2
header-emergency,2,0
header-specialty,3,1
header-treatment,4,96
header-equip,1,0
header-practice,1,1
morrie,1,0
waud,1,0
ftp,2,0
ambulance,1,2
internship,1,0
externship,1,0
residency,5,12
uw,2,3
uniquely,5,3
foerner,1,0
dacv,1,0
director,19,22
inception,2,1
arthroscopic,1,4
authore,4,3
diplomate,1,1
chairman,1,2
regent,1,0
brookfield,1,0
shedd,1,0
arlington,2,4
racecourse,1,0
ringle,1,0
barnum,2,0
bailey,3,1
seventy,3,2
southeastern,3,1
northeastern,4,0
technologically,1,2
radiograph,1,1
transmit,7,30
irap,1,0
osteoarthritis,10,87
shockwave,1,0
cbc,2,6
chemistry,5,7
gase,1,8
cytology,1,1
ophthalmology,1,2
dentistry,3,29
laparoscopy,1,2
arthroscopy,1,9
endoscopy,1,6
scope,4,5
gastroscopy,1,0
paddock,6,0
lameness,6,0
corrective,1,1
intervet,3,0
scher,7,0
plough,7,0
prevenile,1,0
nile,7,2
chok,5,1
protocol,4,17
delavan,1,0
mwequinecenter,1,0
title-eanswer,6,0
header-eanswer,6,0
header-real,13,4
header-expert,10,31
header-fast,14,2
eanswer,7,0
illegal,8,2
distress,8,34
freestar,6,0
connecton,6,0
adrenal,11,7
frigadaire,6,0
dishwasher,16,5
drain,14,17
unproductive,6,1
hollow,7,5
cough,21,52
fault,7,5
relinquish,6,0
husband,21,29
brake,6,0
alero,6,0
phamacy,10,0
fortun,10,0
resolve,13,14
joni,11,1
dalgar,6,0
lorettadog,6,0
possibly,28,41
avoide,27,21
respond,19,54
pamela,14,0
molthen,6,0
stove,17,6
meola,6,0
statute,7,0
landlord,7,1
litigation,9,2
court,19,10
pension,6,0
erisa,6,0
discrimination,7,2
divorce,7,14
custody,6,1
parental,8,0
guardianship,6,0
conservatorship,6,0
inheritance,6,0
decease,6,2
entitle,10,10
probate,6,0
relative,13,18
deed,7,0
adverse,10,11
possession,9,1
sentence,8,4
dui,6,1
dwi,6,0
slip,22,31
calculate,19,4
debt,18,4
identity,12,8
brak,7,21
complicate,18,15
mechanical,9,45
reasonable,10,5
virus,13,52
savvy,10,0
programmer,7,0
fido,6,0
lethargic,6,1
handymen,7,0
silverware,7,0
electrician,6,2
antonio,4,6
ram,21,7
cav,5,0
nola,4,0
nzi,4,0
ad-trade,3,2
ad-education,1,8
ad-begin,4,11
ad-enroll,2,4
ad-re,10,7
title-foundation,1,6
title-stock,5,2
title-option,1,13
header-pay,3,0
header-trade,2,2
header-foundation,2,6
header-option,2,3
header-level,1,1
brag,2,0
indicator,6,16
thursday,14,24
edt,4,3
telephone,5,97
tradesmart,1,0
division,14,17
ad-block,3,1
ad-mycholesteroldiet,2,0
ad-classifiedad,12,1
header-york,11,3
header-staten,9,1
header-island,10,1
header-ny,9,1
header-change,13,3
header-location,12,3
header-zip,13,1
header-code,14,1
header-browse,16,4
staten,10,1
queen,19,15
bronx,11,6
americansteelspan,8,1
dotellall,9,1
catholic,8,4
catholics,8,1
acre,24,2
furguson,8,1
rottortiller,8,1
perkin,8,2
exelent,8,1
artian,8,1
ceder,8,1
comercail,8,1
buddy,18,6
hasn,9,5
sqft,8,1
parkchester,8,1
condominium,8,1
condominiums,8,1
eparkchester,8,1
phrase,12,3
classifiedad,15,1
ad-horsetech,1,0
ad-flax,1,0
ad-base,3,2
title-horsetech,1,0
title-net,3,9
header-re,6,3
header-western,1,0
header-provide,2,1
header-comprehensive,1,0
header-convenient,1,0
header-flax,1,0
header-base,1,0
header-load,5,1
header-omega,1,0
header-zinpro,1,0
header-plex,1,0
header-eq,1,0
header-horsetech,1,0
header-guarantee,2,3
header-read,3,0
header-perfect,4,0
header-electrolyte,1,0
horsetech,1,0
lauren,7,2
glanzen,1,0
keeper,5,0
gl,3,4
reitsport,1,0
trisport,1,0
ha,7,3
hyaluronic,2,7
blackenall,1,0
bioflax,1,0
mareberry,1,0
mmx,1,0
optimsm,1,0
silica,2,2
hylasport,1,0
nutra,1,0
plex,3,1
dfm,1,1
lactic,5,11
prebiotic,1,0
iquid,1,0
vit,2,2
selen,1,0
nuse,1,0
muck,2,0
preox,1,0
radiance,2,0
claw,7,1
pur,1,0
flex,15,9
cs,10,5
discontinue,9,8
zinpro,1,0
pellete,5,0
buggzo,1,0
sorte,3,1
sifte,1,0
powdery,1,0
messy,4,2
thiamine,8,2
brewer,2,1
quench,1,0
namely,2,2
broad,15,7
spectrum,8,8
connective,1,22
lysine,2,1
fenugreek,1,1
contiguous,4,0
minimum,27,8
rod,7,9
affaire,1,0
ad-job,2,2
ad-tr,1,0
title-solution,7,37
loyalty,6,0
comm,1,1
diem,1,0
assignment,1,0
recruite,1,1
lpn,1,0
psychiatric,1,15
rn,4,11
ad-disc,1,12
ad-lamb,5,1
ad-clean,7,2
ad-precise,1,0
ad-meat,18,10
ad-eliminate,4,1
ad-sawdust,1,0
ad-carcass,1,0
ad-waste,3,7
title-primecut,1,0
title-round,3,0
title-knife,1,0
title-station,1,1
title-lamb,3,0
title-cut,1,2
title-engineer,1,4
title-ltd,2,0
header-primecut,1,0
header-tm,2,1
header-round,4,0
header-knife,1,0
header-innovation,1,0
header-lamb,2,0
primecut,1,0
conveyance,1,0
bandsaw,1,0
carcass,3,2
debre,3,4
detract,2,0
appearance,25,66
flavour,2,0
wherea,1,3
rotation,4,1
realise,2,1
unalter,2,0
tim,5,3
sesltd,1,0
nz,2,1
maximise,1,0
notably,1,0
operator,4,36
conveyor,1,2
roller,3,4
lateral,1,13
hygiene,7,34
zkm,1,0
freund,1,0
slaughter,11,1
wo,2,2
preliminary,1,3
prototyp,1,3
fabrication,2,7
commission,8,9
lunn,1,0
middleton,3,2
christchurch,1,0
ad-aoudad,1,0
ad-ram,3,0
ad-white,4,2
ad-tail,2,0
ad-fence,10,2
ad-southwest,1,0
title-ghost,1,0
dolan,1,0
rio,2,1
manana,1,0
native,11,10
apache,6,4
peco,1,1
canyon,7,1
cach,2,9
burial,1,0
ghostwater,1,0
sighte,2,0
terrain,9,9
vast,4,35
immensely,4,0
terrace,1,0
slope,7,1
barbado,1,0
aoudad,2,0
axe,3,3
javelina,1,0
dove,5,2
ad-fitnesstrim,5,0
nutella,5,0
utterly,6,0
addictive,6,6
highlighte,3,0
spoonful,5,0
partak,3,1
smear,8,0
sneak,3,0
haricot,5,0
vert,6,0
filet,10,1
blanch,3,0
saut,7,0
boil,13,5
palate,7,0
mustard,9,2
thicker,5,4
horseback,13,2
girlfriend,5,0
dedee,3,0
clink,3,0
kiss,9,3
awkward,4,2
moment,26,70
thicket,3,0
billy,12,4
kennedy,3,1
squirt,5,1
waiter,3,0
moron,3,1
annisquam,1,0
ann,8,6
massachusett,7,39
veranda,1,0
wingaersheek,1,0
lobster,2,0
cove,1,1
gloucester,3,3
kiple,1,2
captain,5,0
courageous,3,1
teenager,3,28
harvey,1,7
cheyne,1,0
spoil,3,1
capable,6,6
accompany,16,34
tide,4,1
mud,7,2
squall,1,0
drench,2,2
thoroughly,21,13
anadama,1,0
violet,6,1
nick,6,1
photograph,26,6
scenery,3,2
cable,12,6
blink,3,0
stelter,1,0
carter,3,5
dispute,3,1
cablevision,1,0
signal,3,8
arizona,14,56
multichannel,1,0
ad-tiny,2,0
ad-bit,3,0
title-book,4,1
header-choice,6,1
fatten,5,0
dietwatch,1,0
flexitarian,1,0
guarana,2,0
supermarket,19,6
bowflex,2,0
treadclimber,2,0
watcher,5,1
tanya,2,2
breatharian,2,0
mypetfat,2,0
taut,1,0
trimspa,1,0
hallelujah,2,0
marie,7,3
dietchoice,2,0
adio,2,0
healthe,2,0
avesil,2,0
dysmorphic,2,0
shatobu,2,0
wonderslim,2,0
troubleshoot,2,0
bodybugg,2,0
gowear,2,0
bodymedia,2,0
mandura,2,0
ngrmeal,2,0
designate,5,3
wearable,4,2
pastatarianism,2,0
vegan,11,2
atkin,6,1
fate,3,0
dietgirl,2,0
shauna,2,0
anne,6,4
collin,3,1
deeper,5,18
advocate,4,27
beck,2,1
deprive,4,1
memoir,3,1
bikini,5,0
bootcamp,7,0
phillip,5,1
conventional,20,28
chiropractor,4,8
biblical,2,2
motivational,4,6
ecology,2,1
antecedent,2,0
antithesis,2,0
suzanne,2,1
sommer,3,0
debunk,4,0
fighte,17,74
strongest,8,4
leaner,8,0
addict,4,4
addiction,12,42
catabolic,3,0
cheat,2,0
substantial,9,17
cheater,2,0
intake,17,34
fend,2,10
jumpstart,2,0
retain,8,13
cron,2,0
denise,8,4
guru,4,0
delusion,2,2
critique,2,0
unassailable,3,0
detective,2,0
countdown,4,0
docs,3,1
generic,12,29
kushner,2,0
nonsense,4,1
perpetuate,2,0
broke,7,6
dorm,3,0
pudge,2,0
premise,2,3
conquer,4,5
willpower,3,3
duke,6,2
gorgeous,9,6
controversial,4,8
generate,11,16
criticism,3,1
randomly,3,0
forbid,3,0
leanest,3,0
fittest,2,0
repent,2,0
dealt,6,6
weil,4,0
kate,8,5
winslet,2,0
actress,2,0
habit,26,56
smash,3,2
heavily,10,3
fatfield,2,0
feingold,2,0
harvard,7,4
brief,8,30
elisabeth,2,1
hasselbeck,2,0
gabriel,4,1
competition,12,1
geek,3,2
emphasis,8,2
genotype,2,1
attempt,30,13
glucose,8,41
revolution,14,5
thompson,5,2
thinness,2,0
theologian,2,0
christianity,2,0
revitalize,6,1
goomba,2,0
parody,2,0
soprano,2,0
gordon,5,1
ramsay,2,0
gorgeously,2,0
sophie,2,1
uliano,2,0
minimally,3,39
gotti,2,0
teen,11,53
succeed,19,8
ass,3,0
genesis,2,1
hampton,4,0
hamptom,2,0
junky,2,0
bratman,2,0
coin,4,1
orthorexia,2,0
nervosa,2,1
obsess,2,2
hilton,2,2
natasha,3,0
turner,10,1
latin,8,5
mimi,2,0
humorous,6,0
irreverant,2,0
lillien,2,0
critic,2,0
volumetric,2,0
jillian,4,0
ketogenic,2,0
secondary,5,88
kremlin,2,0
politician,6,0
leptin,3,1
lord,2,3
albeit,2,0
marilu,2,0
henner,2,0
mediterrasian,2,0
menus,10,3
mindless,2,0
dahl,2,0
voluptuous,2,0
indulge,6,0
bodybuilder,4,2
unleash,2,1
skinnygirl,2,0
bethenny,2,0
housewive,3,0
neanderthin,2,0
lifte,9,10
mercola,2,4
jame,13,20
cracknell,2,0
forgo,2,7
beer,13,3
melina,2,0
jampole,2,0
tradition,12,16
okinawa,2,0
lifespan,2,8
bulge,2,42
foody,2,0
socialite,2,0
bestsel,7,4
simplify,7,1
reverse,7,38
rosedale,2,1
scientifically,9,9
satiety,5,1
sardine,2,0
scarsdale,2,0
grapefruit,12,0
serotonin,3,1
shangri,2,0
overeate,9,1
bland,4,0
bitch,3,0
cruelty,10,2
insignificant,2,0
sonoma,3,0
finer,3,1
supercharge,2,0
psychological,12,43
buster,6,0
sensible,6,4
negatively,2,2
insulin,9,29
vorderman,2,0
superfast,2,0
wolfe,3,2
cacao,5,1
teenage,5,0
letterman,2,0
spark,11,1
jorge,3,0
tnt,2,0
tony,13,4
barry,3,5
kerry,4,0
mccloskey,2,0
ultrasimple,2,0
updaydownday,2,0
volumetrics,2,0
satiate,2,0
warrior,6,2
laid,2,1
mehmet,2,0
junk,11,8
bauer,2,0
ln,10,2
ad-sonosite,3,0
ad-mindray,3,0
ad-pric,4,9
ad-onsite,3,0
ad-mineral,6,0
ad-meet,2,2
title-nature,4,1
header-rice,1,0
ad-transport,4,1
ad-transportation,2,0
ad-mexico,3,0
ad-hi,2,1
ad-east,1,1
ad-coast,3,0
hwy,9,13
guestbook,3,1
howdy,2,0
motel,2,0
overnight,10,12
availablity,1,0
cashier,1,1
mastercard,7,3
domainnamesanity,1,0
ad-height,1,0
ad-chateau,1,0
ad-wine,1,0
ad-biodynamic,1,0
ad-ny,4,9
title-height,2,0
title-chateau,1,0
title-title,6,2
chateau,1,0
varietal,2,0
sparkle,7,2
spirit,19,11
cellar,2,0
rocca,1,0
barbaresco,1,0
brich,1,0
ronchi,1,0
fruity,6,0
aroma,7,2
xangelo,1,0
upbeat,1,0
piedmont,1,0
andalhue,1,0
sol,7,0
claro,1,0
malbec,2,0
lively,4,3
argiola,1,0
tremontis,1,0
mirto,1,0
liqueur,1,0
bittersweet,1,0
juniper,6,1
arzuaga,1,0
reserva,2,0
ribeira,1,0
du,3,1
azienda,1,0
arzuagua,1,0
traditionalist,1,0
terroir,1,0
organically,6,0
winery,1,0
sicilia,1,0
earthy,3,0
ribera,1,0
duero,1,0
climat,1,0
chardonnay,2,0
overbear,1,0
auzier,1,0
cdr,1,0
serre,1,0
rouge,2,2
grenache,1,0
cinsault,1,0
ample,5,1
babich,1,0
sauvingon,1,0
bellevue,3,1
lussac,1,0
emilion,1,0
beringer,1,0
cabernet,3,0
na,3,5
napa,1,0
rutherford,2,0
title-crate,2,0
title-treat,7,6
header-crate,2,0
header-treat,1,1
header-accessory,1,0
header-medication,2,0
dingo,1,1
ecotrition,5,0
excel,8,2
birdie,1,0
vita,13,1
